id;equipment;functieplaats;omschrijving;objecttype;geoCode;geoCode omschrijving;plaats;straat;standplaats code;standplaats;contractgebied code;contractgebied;status;equipmenttype;startpunt;eindpunt;lengte;maateenheid;naam;user status equipment;vestiging;oH-organisatie;oH-plann.groep;kostenplaats;vast actief;wijziging op;wijziging door;basis objecttype code;techniekveld;hoekverhouding kruising;aanschafdatum;eigenaar (economisch);bewapening;dikte ballast;hoofdspoor/zijspoor;profiel;smeerloze constructie;soort ballast;soort Wisselligger;generiek tekeningnummer;voegloos;monitoring;aangesloten wisselverwarming;operatie;producent;projectdefinitie;xY nauwkeurig begin gemeten;baanvaksnelheid goederen;baanvaksnelheid reizigers;dagtonnage reizigers;ondergrond (BAAN_ONDERGRONDWSL);in bestrating;plaatsingsdatum;kruisingnummer;datacollectie;theoretisch vervangingsjaar;afschrijvingsgroep;wissel classificatie;theoretische levensduur;bediening classificatie;beheerder;beheerder Extra Info;datum eerste plaatsing;locatie functioneel;xY nauwkeurig eind gemeten;spoorafstand;lTD tekeningnummer;economisch vervangingsjaar;technisch vervangingsjaar;inspectiejaar;hergebruikt object?;dagtonnage goederen;fictief tonnage;undersleeperpad aanwezig?;naam 3;opmerkingen;oud equipment;opmerking;naam 4;geokunststoffen;producent + type geokunststof;naam 2;naam 1
Dataset-Fysiek_object-10657114;10657114;586-308-1000312031;586 Kruising 2527K 1: 9;Kruising;586;Amsterdam Centraal;Niet van toepassing;Niet van toepassing;4;Randstad Noord;9;Amsterdam;INGB;B;80.275.000;80.282.000;0.007000;M;2527K;VRIJ;1000;1000;09B;P2108-586;2012635;26-8-2019 00:00;808956;308;B;01:09;1-1-2003 00:00;ProRail;Indirecte bevestiging;> 25 cm;Hoofdspoor;5,40E+02;Ekos-rollen;Steenslag 31,5/50;Beton;412827;Ja;Geen;Geen;SANEREN;ONBEKEND;Z-156402;BBK (<=28cm);40;40;25.800;Ballastloze constructie;Nee;1-1-2003 00:00;2527K;Dataverbetering;1-1-2048 00:00;4:  20.000 < Tf <= 40.000;D:  Niet centraal bed. wissel;45;I;;;;;;;;;;;;;;;;;;;;;;;
Dataset-Fysiek_object-10121414;10121414;618-308-1000311787;618 Kruising 103K 1: 4,5;Kruising;618;Eindhoven;Niet van toepassing;Niet van toepassing;3;Zuid;24;Eindhoven;INGB;B;51.237.000;51.237.000;;M;103K;VRIJ;1000;1000;24B;P3208-618;2019061;26-8-2019 00:00;808956;308;B;01:04,5;1-1-1987 00:00;ProRail;Indirecte bevestiging;15-25 cm;Hoofdspoor;4,60E+04;Geen;Steenslag 31,5/50;Hout;415090;Nee;Geen;Niet van toepassing;;ONBEKEND;;Objectregistratie (<=1.5m);40;;;;Nee;1-1-1987 00:00;103K;Dataverbetering;1-1-2016 00:00;3:  40.000 < Tf <= 80.000;D:  Niet centraal bed. wissel;29;IV;ProRail;Niet van toepassing;1-1-1987 00:00;EHV;Objectregistratie (<=1.5m);4,5;415090;;;;;;;;;;;;;;;;
Dataset-Fysiek_object-10201545;10201545;543-308-1000311819;543 Kruising 161K 1: 4,5;Kruising;543;Hengelo;Niet van toepassing;Niet van toepassing;2;Noord-Oost;32;Twente;INGB;B;45.138.000;45.138.000;;M;161K;VRIJ;1000;1000;32B;P1208-543;2015474;26-8-2019 00:00;808956;308;B;01:04,5;1-1-2000 00:00;ProRail;Indirecte bevestiging;15-25 cm;Hoofdspoor;5,40E+02;Geen;Steenslag 31,5/50;Hout;420024;Ja;Geen;Niet van toepassing;WIJZIGEN;ONBEKEND;;BBK (<=28cm);40;40;;Ballast op zand;Nee;1-1-2000 00:00;161K;Dataverbetering;1-1-2025 00:00;4:  20.000 < Tf <= 40.000;B:  Centr bed en middel belast;25;IV;ProRail;Niet van toepassing;1-1-2000 00:00;HGL;BBK (<=28cm);4,5;;31-12-2022 00:00;31-12-2022 00:00;;;;;;;;;;;;;;
Dataset-Fysiek_object-10266205;10266205;546-308-1000311917;546 Kruising 902K 1: 9;Kruising;546;Blauwkapel;Niet van toepassing;Niet van toepassing;4;Randstad Noord;13;Utrecht;INGB;B;4.445.000;4.445.000;;M;902K;VRIJ;1000;1000;13B;P2208-546;2020166;26-8-2019 00:00;808956;308;B;01:09;1-1-1992 00:00;ProRail;Indirecte bevestiging;> 25 cm;Hoofdspoor;5,40E+02;Switchglides;Steenslag 31,5/50;Hout;ONBEKEND;Ja;Geen;Nee;WIJZIGEN;Onbekend;;Objectregistratie (<=1.5m);;;;Ballast op zand;Nee;1-1-1992 00:00;902K;Dataverbetering;1-1-2027 00:00;3:  40.000 < Tf <= 80.000;D:  Niet centraal bed. wissel;35;IV;ProRail;Niet van toepassing;;BKP;Objectregistratie (<=1.5m);;GEEN LTD;31-12-2020 00:00;31-12-2018 00:00;1-1-2014 00:00;;;;;;;;;;;;;
Dataset-Fysiek_object-10584148;10584148;508-308-1000311993;508 Kruising 851K 1: 9;Kruising;508;Arnhem;Niet van toepassing;Niet van toepassing;2;Noord-Oost;30;Achterhoek;INGB;B;91.021.000;91.021.000;;M;851K;VRIJ;1000;1000;30B;P1208-508;2016298;26-8-2019 00:00;808956;308;B;01:09;1-1-1997 00:00;ProRail;Indirecte bevestiging;15-25 cm;Zijspoor;4,60E+04;Geen;Steenslag 22/40;Hout;44170;Nee;Geen;Niet van toepassing;WIJZIGEN;ONBEKEND;R-482500;BBK (<=28cm);;;;Ballast op zand;Nee;1-1-1997 00:00;851K;Dataverbetering;1-1-2026 00:00;6:  Tf <= 5.000 (lichtst bel.);D:  Niet centraal bed. wissel;29;IV;ProRail;Niet van toepassing;1-1-1997 00:00;AHB;BBK (<=28cm);4,35;;31-12-2024 00:00;31-12-2021 00:00;;;;;;;;;;;;;;
Dataset-Fysiek_object-10611250;10611250;503-308-1000312001;503 Kruising 189K 1: 15;Kruising;503;Deventer;Niet van toepassing;Niet van toepassing;2;Noord-Oost;31;IJsselstreek;INGB;B;40.830.000;40.865.000;0.035000;M;189K;VRIJ;1000;1000;31B;P1208-503;2020183;12-12-2018 00:00;808956;308;B;;1-1-1995 00:00;ProRail;Indirecte bevestiging;> 25 cm;Hoofdspoor;5,40E+02;Geen;Steenslag 31,5/50;Hout;410606;Nee;Geen;;SANEREN;WBB;Z-156402;BBK (<=28cm);100;110;31.179;Ballast op zand;Nee;1-1-1995 00:00;189K;Dataverbetering;1-1-2018 00:00;4:  20.000 < Tf <= 40.000;Niet van toepassing;23;I;;;1800-01-31 00: 00;;;;;31-12-2021 00:00;31-12-2020 00:00;1-1-2013 00:00;Nee;5.684;48.327;;;;;;;;;;
Dataset-Fysiek_object-10657074;10657074;506-308-1000312017;506 Kruising 910K 1: 4,5;Kruising;506;Amersfoort;Niet van toepassing;Niet van toepassing;4;Randstad Noord;12;Amersfoort;INGB;B;44.548.000;44.548.000;;M;910K;VRIJ PRCB;1000;1000;12B;P2208-506;2020136;26-8-2019 00:00;808956;308;B;01:04,5;1-1-1996 00:00;ProRail;Indirecte bevestiging;> 25 cm;Hoofdspoor;5,40E+02;Switchglides;Steenslag 31,5/50;Hout;414111;Ja;Geen;Nee;WIJZIGEN;Onbekend;;Objectregistratie (<=1.5m);;;;Ballast op zand;Nee;1-1-1996 00:00;910K;Dataverbetering;1-1-2031 00:00;3:  40.000 < Tf <= 80.000;D:  Niet centraal bed. wissel;35;IV;ProRail;Niet van toepassing;;AMF;Objectregistratie (<=1.5m);Asymmetrisch;GEEN LTD;31-12-2021 00:00;1-1-2199 00:00;;;;;Ja;;;;;;;;;
Dataset-Fysiek_object-10721979;10721979;823-308-1000312047;823 Kruising 14K 1: 4,5;Kruising;823;Oosterhout Weststad;Niet van toepassing;Niet van toepassing;3;Zuid;19;Roosendaal;INGB;B;4.676.000;4.688.000;0.012000;M;14K;VRIJ;1000;1000;19B;P3108-823;2019665;26-8-2019 00:00;808956;308;B;01:04,5;1-1-2000 00:00;ProRail;Indirecte bevestiging;15-25 cm;Zijspoor;5,40E+02;Geen;Steenslag 22/40;Hout;411034;Nee;Geen;Geen;WIJZIGEN;ONBEKEND;Z-156402;Onbekende nauwkeurigheid;40;40;999;Ballast op klei/veen;Nee;1-1-2000 00:00;14K;Dataverbetering;1-1-2050 00:00;6:  Tf <= 5.000 (lichtst bel.);D:  Niet centraal bed. wissel;;IV;;;1800-01-31 00: 00;;;;;;;;Nee;999;999;;P.E;;;;;;;;
Dataset-Fysiek_object-10765925;10765925;560-308-1000312055;560 Kruising 1219K 1: 4,5;Kruising;560;Den Haag Centraal;Niet van toepassing;Niet van toepassing;5;Randstad Zuid;2;Den Haag;INGB;B;24.900.000;24.900.000;;M;1219K;VRIJ;1000;1000;02B;P2308-560;2017917;26-8-2019 00:00;808956;308;B;01:04,5;15-10-2005 00:00;ProRail;Indirecte bevestiging;> 25 cm;Hoofdspoor;5,40E+02;Geen;Steenslag 31,5/50;Beton;420306;Ja;Geen;Niet van toepassing;WIJZIGEN;WBN;;BBK (<=28cm);;;;Ballast op klei/veen;Nee;15-10-2005 00:00;1219K;Dataverbetering;1-1-2065 00:00;4:  20.000 < Tf <= 40.000;D:  Niet centraal bed. wissel;60;IV;ProRail;Niet van toepassing;15-10-2005 00:00;GVC;BBK (<=28cm);Asymmetrisch;;;;1-1-2025 00:00;;;;;;NVT;;;;;;;
Dataset-Fysiek_object-11483378;11483378;504-308-1000312151;504 Kruising 63K 1: 4,5;Kruising;504;Heerlen;Niet van toepassing;Niet van toepassing;3;Zuid;26;Maastricht;INGB;B;18.288.000;18.288.000;;M;63K;VRIJ;1000;1000;26B;P3208-504;;26-8-2019 00:00;808956;308;B;01:04,5;20-10-2013 00:00;ProRail;Indirecte bevestiging;> 25 cm;Hoofdspoor;5,40E+02;Geen;Steenslag 31,5/50;Kunststof;415090;Ja;Geen;Niet van toepassing;WIJZIGEN;KLOOS OVING;M-003900;Objectregistratie (<=1.5m);;;;;Nee;20-10-2013 00:00;63K;Dataverbetering;1-1-2066 00:00;5:  5.000 < Tf <= 20.000;A:  Centr bed en intens. belast;;IV;ProRail;Niet van Toepassing;;HRL;Objectregistratie (<=1.5m);4,5;ONBEKEND;;;;;;;;;;;;;;;;
