id;equipment;functieplaats;omschrijving;objecttype;geoCode;geoCode omschrijving;plaats;straat;standplaats code;standplaats;contractgebied code;contractgebied;status;equipmenttype;startpunt;eindpunt;lengte;maateenheid;naam;user status equipment;opmerking;vestiging;oH-organisatie;oH-plann.groep;kostenplaats;vast actief;wijziging op;wijziging door;basis objecttype code;techniekveld;puicnummer;aanschafdatum;datacollectie;eigenaar (economisch);opmerkingen;producent;theoretisch vervangingsjaar;afschrijvingsgroep;bewapening;dikte ballast;hoofdspoor/zijspoor;wissel classificatie;profiel;smeerloze constructie;soort ballast;generiek tekeningnummer;voegloos;monitoring;inspectiejaar;soort Wisselligger;theoretische levensduur;bediening classificatie;hoekverhouding kruising;kruisingnummer;plaatsingsdatum;aangesloten wisselverwarming;beheerder;beheerder Extra Info;datum eerste plaatsing;operatie;locatie functioneel;xY nauwkeurig begin gemeten;xY nauwkeurig eind gemeten;ondergrond (BAAN_ONDERGRONDWSL);spoorafstand;in bestrating;technisch vervangingsjaar;economisch vervangingsjaar;lTD tekeningnummer;undersleeperpad aanwezig?;hergebruikt object?;projectdefinitie;naam 2;naam 3;dagtonnage goederen;dagtonnage reizigers;fictief tonnage;geokunststoffen;producent + type geokunststof;naam 4;waarde;naam 1;oud equipment
Dataset-Fysiek_object-10101418;10101418;555-308-1000311717;555 Kruising K520 1:4,5;Kruising;555;Rotterdam Centraal;Niet van toepassing;Niet van toepassing;52;Zuid-Holland-Zuid;3;Rotterdam;INGB;B;83.301000;83.308000;0.007000;M;K520;VRIJ;Houten dwarsligger vernieuwd >50% zonder ballast jaar 2010;1000;1000;03B;P2308-555;2016938;2022-05-17 00:00;P1002958;308;B;7ddeb100-c060-4456-8011-0599f2d9ab53;1979-01-01 00:00;Dataverbetering;ProRail;NVT;RAILPRO;2008-01-01 00:00;6: Tf <= 5.000 (lichtst bel.);Indirecte bevestiging;15-25 cm;Zijspoor;D: Niet centraal bed. wissel;46E3;Geen;Steenslag 31,5/50;44170;Nee;Geen;2017-01-01 00:00;Hout;29;IV;1:4,5;K520;1979-01-01 00:00;Niet van toepassing;ProRail;Niet van toepassing;1979-01-01 00:00;WIJZIGEN;RTD_5M-8M;BBK (<=28cm);BBK (<=28cm);Ballast op zand;4,5;Nee;2023-12-31 00:00;2023-12-31 00:00;GEEN LTD;Nee;Nee;;;;;;;;;;;;
Dataset-Fysiek_object-10120806;10120806;519-308-1000311767;519 Kruising K51 1:4,5;Kruising;519;Roermond;Niet van toepassing;Niet van toepassing;32;Zuid-Oost;25;Roermond;INGB;B;46.385000;46.392000;0.007000;M;K51;VRIJ;;1000;1000;25B;P3208-519;2012359;2022-05-10 00:00;P1002958;308;B;5d351438-fba0-4db0-84d5-5090e88eb613;1997-01-01 00:00;Dataverbetering;ProRail;;ONBEKEND;2027-01-01 00:00;5: 5.000 < Tf <= 20.000;Indirecte bevestiging;15-25 cm;Hoofdspoor;D: Niet centraal bed. wissel;54E1;Geen;Steenslag 31,5/50;411813;Ja;Geen;;Hout;30;IV;1:4,5;K51;1997-01-01 00:00;Niet van toepassing;ProRail;Niet van Toepassing;;WIJZIGEN;RM;BBK (<=28cm);BBK (<=28cm);;4,5;Nee;2027-12-31 00:00;2027-12-31 00:00;GEEN LTD;Nee;Nee;;;;;;;;;;;;
Dataset-Fysiek_object-10101984;10101984;924-308-1000311739;924 Bew.Kruising 2371A/B 1:15;Kruising;924;Kijfhoek;Niet van toepassing;Niet van toepassing;53;Zee-Zevenaar;4;Europoort;INGB;B;37.220000;37.302000;0.082000;M;2371A/B;VRIJ;;1000;1000;04B;P2308-924;2025432;2021-09-09 00:00;288456;308;B;bcabfcfe-20d8-4cc1-bfa4-cc50af490111;2008-10-01 00:00;Dataverbetering;ProRail;NVT;WBB;2061-01-01 00:00;;Indirecte bevestiging;> 25 cm;Hoofdspoor;C: Centr bed en licht belast;54E1;Geen;Steenslag 31,5/50;414793;Ja;Geen;2025-01-01 00:00;Beton;53;Niet van toepassing;1:15;2371A/B;2008-10-01 00:00;GK.Kfh.01;ProRail;Niet van toepassing;2008-10-01 00:00;WIJZIGEN;KFH;BBK (<=28cm);BBK (<=28cm);Ballast op klei/veen;Asymmetrisch;Nee;;;GEEN LTD;Nee;Nee;Z-166414;;;;;;;;;;;
Dataset-Fysiek_object-10121414;10121414;618-308-1000311787;618 Kruising K103 1:4,5;Kruising;618;Eindhoven;Niet van toepassing;Niet van toepassing;32;Zuid-Oost;24;Eindhoven;INGB;B;51.233000;51.241000;0.008000;M;K103;VRIJ;;1000;1000;24B;P3208-618;2019061;2022-04-25 00:00;P1002958;308;B;39d9346d-e7e0-4eec-a472-928d2cc08fe0;1987-01-01 00:00;Dataverbetering;ProRail;;ONBEKEND;2016-01-01 00:00;3: 40.000 < Tf <= 80.000;Indirecte bevestiging;15-25 cm;Hoofdspoor;D: Niet centraal bed. wissel;54E1;Geen;Steenslag 31,5/50;415090;Nee;Geen;;Beton;29;IV;1:4,5;K103;1987-01-01 00:00;Niet van toepassing;ProRail;Niet van toepassing;1987-01-01 00:00;;EHV;BBK (<=28cm);BBK (<=28cm);;4,5;Nee;;;GEEN LTD;Nee;Nee;;;;;;;;;;;;
Dataset-Fysiek_object-10121019;10121019;545-308-1000311777;545 Kruising K135 1:4,5;Kruising;545;Roosendaal;Niet van toepassing;Niet van toepassing;31;Zuid-West;19;Roosendaal;INGB;B;22.995000;23.002000;0.007000;M;K135;VRIJ;;1000;1000;19B;P3108-545;2019474;2022-04-25 00:00;P1002958;308;B;b19de3b7-06bc-4719-8a65-6b8002b57a71;2011-07-01 00:00;Dataverbetering;ProRail;;WBN;2071-07-01 00:00;6: Tf <= 5.000 (lichtst bel.);Indirecte bevestiging;> 25 cm;Hoofdspoor;C: Centr bed en licht belast;54E1;Geen;Steenslag 31,5/50;415090;Ja;Geen;;Beton;60;IV;1:4,5;K135;2011-07-01 00:00;Niet van toepassing;ProRail;Niet van toepassing;;WIJZIGEN;RSD;Onbekende nauwkeurigheid;Objectregistratie (<=1.5m);Ballast op zand;4,5;Nee;;;GEEN LTD;Nee;Nee;Z-156402;2001-2003;2007-2009;999;999;999;;;;;;
Dataset-Fysiek_object-10201545;10201545;543-308-1000311819;543 Kruising K161 1:4,5;Kruising;543;Hengelo;Niet van toepassing;Niet van toepassing;22;Oost;32;Twente;INGB;B;45.151000;45.162000;0.011000;M;K161;VRIJ;;1000;1000;32B;P1208-543;2015474;2022-08-12 00:00;36566;308;B;f6b883d6-49ec-4666-94ff-20ea13dbfd99;2022-01-01 00:00;Mutaties vanuit projecten;ProRail;;Kloos;2067-05-04 00:00;4: 20.000 < Tf <= 40.000;Indirecte bevestiging;> 25 cm;Hoofdspoor;B: Centr bed en middel belast;54E1;Geen;Steenslag 31,5/50;415090;Ja;Geen;;Beton;45;IV;1:4,5;K161;2022-05-04 00:00;Niet van toepassing;ProRail;Niet van toepassing;2022-05-04 00:00;WIJZIGEN;HGL;BBK (<=28cm);BBK (<=28cm);Ballast op zand;4,5;Nee;2022-12-31 00:00;2022-12-31 00:00;GEEN LTD;Nee;Nee;D-003047;;;;;;Combidoek(geogrid+filtervlies);Tensar GEOGRIDS;;;;
Dataset-Fysiek_object-10265571;10265571;506-308-1000311857;506 Kruising K95A 1:5;Kruising;506;Amersfoort;Niet van toepassing;Niet van toepassing;41;Midden;12;Amersfoort;INGB;B;43.914000;43.935000;0.021000;M;K95A;VRIJ PRCB;;1000;1000;12B;P2208-506;2020154;2022-06-08 00:00;P1002958;308;B;135776f2-2d5e-4c27-9f41-21ee2addb0cc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dataset-Fysiek_object-10266205;10266205;546-308-1000311917;546 Kruising K1015 1:9;Kruising;546;Blauwkapel;Niet van toepassing;Niet van toepassing;41;Midden;13;Utrecht;INGB;B;4.422000;4.469000;0.047000;M;K1015;VRIJ;;1000;1000;13B;P2208-546;2020166;2021-07-21 00:00;P1005295;308;B;06085b52-d3f5-49fb-9150-50348e70eb50;2020-10-01 00:00;Mutaties vanuit projecten;ProRail;;Voestalpine WBN;2055-10-26 00:00;3: 40.000 < Tf <= 80.000;Indirecte bevestiging;> 25 cm;Hoofdspoor;D: Niet centraal bed. wissel;54E1;Geen;Steenslag 31,5/50;414581;Ja;Geen;;Beton;35;IV;1:9;K1015;2020-10-26 00:00;Niet van toepassing;ProRail;Niet van toepassing;;1 OP 1 VERVANGING;BKP;Objectregistratie (<=1.5m);Objectregistratie (<=1.5m);Ballast op zand;Asymmetrisch;Nee;2055-12-31 00:00;2020-12-31 00:00;GEEN LTD;Nee;Nee;L-005105;;;;;;geogrid + filtervlies;;;;;
Dataset-Fysiek_object-10120653;10120653;517-308-1000311753;517 Kruising K65 1:4,5;Kruising;517;Venlo;Niet van toepassing;Niet van toepassing;32;Zuid-Oost;27;Venlo;INGB;B;69.285000;69.292000;0.007000;M;K65;VRIJ;;1000;1000;27B;P3208-517;2018962;2022-10-12 00:00;P1002958;308;B;4c816024-8e4d-4441-be24-00b84d29ecce;2005-01-01 00:00;Dataverbetering;ProRail;;ONBEKEND;2065-01-01 00:00;6: Tf <= 5.000 (lichtst bel.);Indirecte bevestiging;> 25 cm;Zijspoor;C: Centr bed en licht belast;54E1;Geen;Steenslag 22/40;415065;Ja;Geen;;Beton;60;IV;1:4,5;K65;2005-01-01 00:00;Niet van toepassing;ProRail;Niet van toepassing;2005-01-01 00:00;;VL;BBK (<=28cm);BBK (<=28cm);;4,5;Nee;;;GEEN LTD;Nee;Nee;;;P-E;;;;;;;;;
Dataset-Fysiek_object-10265605;10265605;522-308-1000311865;522 Kruising K183 1:4,5;Kruising;522;Uitgeest;Niet van toepassing;Niet van toepassing;42;Noord-West;7;Alkmaar;INGB;B;57.743000;57.750000;0.007000;M;K183;VRIJ;;1000;1000;07B;P2108-522;2013479;2022-05-05 00:00;P1002958;308;B;3613848a-6269-48bb-bbc5-5d2392dfca48;1999-01-01 00:00;Dataverbetering;ProRail;;Onbekend;2022-01-01 00:00;3: 40.000 < Tf <= 80.000;Indirecte bevestiging;15-25 cm;Hoofdspoor;D: Niet centraal bed. wissel;54E1;Geen;Steenslag 31,5/50;411813;Ja;Geen;;Hout;23;IV;1:4,5;K183;1999-01-01 00:00;Niet van toepassing;ProRail;Niet van toepassing;;WIJZIGEN;UTG;BBK (<=28cm);BBK (<=28cm);Ballast op zand;4,5;Nee;;;GEEN LTD;Ja;Nee;;;;;;;;;;;;
